[13/03/2020 13:13:20] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 13:13:28] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [ 5575 1000000] 
[13/03/2020 13:34:17] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:34:21] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_buy], Params: [ 71031] 
[13/03/2020 13:34:36] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:34:42] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[13/03/2020 13:34:45] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[13/03/2020 13:34:53] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_buy], Params: [ 9052] 
[13/03/2020 13:35:09] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:35:40] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_help], Params: [ gmshop/wepc5.htm] 
[13/03/2020 13:35:43] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_buy], Params: [ 71025] 
[13/03/2020 13:35:57] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:36:32] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 13:36:36] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_goto_char_menu], Params: [] 
[13/03/2020 13:36:44] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 13:37:08] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:37:11] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:37:24] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 13:37:30] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [ 5575 10000000] 
[13/03/2020 13:37:39] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:37:46] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_enchant], Params: [] 
[13/03/2020 13:38:00] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_setew], Params: [ 16] 
[13/03/2020 13:38:16] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:38:18] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 13:40:24] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [ 8752 10] 
[13/03/2020 13:41:41] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:42:12] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 13:42:23] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [ 9901] 
[13/03/2020 13:42:32] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:49:28] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:49:34] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_goto_char_menu], Params: [ Cardinal] 
[13/03/2020 13:49:45] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:50:03] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin2], Params: [] 
[13/03/2020 13:50:12] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:50:34] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:50:48] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_enchant], Params: [] 
[13/03/2020 13:50:50] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:51:07] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin3], Params: [] 
[13/03/2020 13:51:16] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin2], Params: [] 
[13/03/2020 13:51:20] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_pledge], Params: [ setlevel 80] 
[13/03/2020 13:51:43] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_char_manage], Params: [] 
[13/03/2020 13:52:25] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:52:45] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 13:52:59] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 9898 1000] 
[13/03/2020 13:53:13] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:53:17] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 13:53:24] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 57 100000000] 
[13/03/2020 13:54:43] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:54:48] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:54:55] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_buy], Params: [ 71031] 
[13/03/2020 13:55:17] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:55:24] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:55:26] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[13/03/2020 13:55:28] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[13/03/2020 13:55:35] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_buy], Params: [ 9045] 
[13/03/2020 13:55:40] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:55:43] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:55:46] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_help], Params: [ gmshop/wepc5.htm] 
[13/03/2020 13:55:49] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_help], Params: [ gmshops.htm] 
[13/03/2020 13:55:50] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[13/03/2020 13:56:00] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[13/03/2020 13:56:14] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_buy], Params: [ 9052] 
[13/03/2020 13:57:43] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:57:55] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:58:03] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 13:58:18] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin2], Params: [] 
[13/03/2020 13:59:04] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_char_manage], Params: [] 
[13/03/2020 13:59:15] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin2], Params: [] 
[13/03/2020 13:59:39] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_cw_add], Params: [] 
[13/03/2020 14:00:01] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:00:14] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 14:00:23] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 9904] 
[13/03/2020 14:01:04] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_setew], Params: [] 
[13/03/2020 14:07:13] --> GM: splitzfire [268477387], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 14:07:23] --> GM: splitzfire [268477387], Target: [GRAND], Action: [admin_goto_char_menu], Params: [ Cardinal] 
[13/03/2020 14:08:37] --> GM: splitzfire [268477387], Target: [Lemper], Action: [admin_admin], Params: [] 
[13/03/2020 14:08:49] --> GM: splitzfire [268477387], Target: [Lemper], Action: [admin_create_item], Params: [] 
[13/03/2020 14:08:55] --> GM: splitzfire [268477387], Target: [Lemper], Action: [admin_create_item], Params: [ 57 100000] 
[13/03/2020 14:11:02] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 14:13:08] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:13:10] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 14:13:16] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 57 999999] 
[13/03/2020 14:13:28] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:13:30] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
