[13/03/2020 18:31:45] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/GM_Skills.htm] 
[13/03/2020 18:31:56] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 4683 1] 
[13/03/2020 18:32:11] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:32:13] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_help], Params: [ skills/Special/GM_Skills.htm] 
[13/03/2020 18:32:16] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_add_skill], Params: [ 4688 1] 
[13/03/2020 18:32:21] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:32:22] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:32:24] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:32:26] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:32:27] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_skills], Params: [] 
[13/03/2020 18:32:29] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:32:30] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/GM_Skills.htm] 
[13/03/2020 18:32:36] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 4688 1] 
[13/03/2020 18:32:38] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:32:39] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/GM_Skills.htm] 
[13/03/2020 18:32:41] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 4681 1] 
[13/03/2020 18:33:29] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_admin], Params: [] 
